source,target,beta
103687,100018,2.867173186914843e-10
10453,100018,2.8592719321783676e-10
112434,100018,2.8592185461945155e-10
126450,100018,2.870388805082872e-10
15741,100018,2.8655507113254736e-10
17075,100018,2.867853246637312e-10
179048,100018,2.865027374479571e-10
19366,100018,2.8658810306815393e-10
198922,100018,2.8700992146903087e-10
211446,100018,2.8652310085852224e-10
2160,100018,2.8707749586613117e-10
21757,100018,2.8707208633861016e-10
23979,100018,2.8699100395830265e-10
242884,100018,2.864426161068375e-10
27961,100018,2.8606902894247745e-10
34547,100018,2.867814645171451e-10
356085,100018,2.868519441846611e-10
35816,100018,2.869796396148855e-10
4301,100018,2.8707749586613117e-10
45514,100018,2.8598153037075e-10
45948,100018,2.868728512119771e-10
49475,100018,2.859782543036045e-10
49610,100018,2.8690535296404106e-10
511,100018,2.8696829594505586e-10
52905,100018,2.866287704609833e-10
58715,100018,2.8652310085852224e-10
7100,100018,0.009615408959033582
71027,100018,2.8686113899579585e-10
7497,100018,2.867995991331985e-10
85424,100018,2.8692707108721227e-10
93057,100018,2.868728512119771e-10
98275,100200,0.015151519277838059
180574,100494,0.004484304937981165
103916,100629,1.9377233413879727e-05
109402,100629,1.890556064766426e-05
119555,100629,1.9609007888528462e-05
120848,100629,2.011573150004429e-05
122947,100629,1.8729843847605574e-05
182998,100629,2.0112481825813073e-05
192431,100629,1.8742958906999754e-05
209096,100629,2.9743942918511798e-05
210469,100629,1.8560046238986654e-05
214121,100629,1.9858771777412275e-05
215341,100629,1.8712550730986185e-05
22107,100629,1.8396980097205605e-05
22138,100629,1.9986207223381017e-05
223770,100629,2.171319899673835e-05
227124,100629,1.8664037201183858e-05
228972,100629,1.870523901905422e-05
231681,100629,1.8555868080120564e-05
235830,100629,1.872462103519978e-05
23599,100629,1.866252843843431e-05
23605,100629,1.8623647521503635e-05
254136,100629,1.8336164092349218e-05
258545,100629,1.8693284733764434e-05
260051,100629,2.6255721224499443e-05
276271,100629,1.9188634001783036e-05
282934,100629,1.9068162518797415e-05
294254,100629,2.0133489012411506e-05
295260,100629,1.8830585219634814e-05
301908,100629,1.9070947975780514e-05
324892,100629,1.897009059360234e-05
326341,100629,1.9436308941548723e-05
365181,100629,1.873378992109083e-05
367975,100629,1.8367848746980926e-05
374612,100629,1.957662682840173e-05
38295,100629,1.8720210751704893e-05
386872,100629,1.8359260159846884e-05
389082,100629,1.8345680967434017e-05
391615,100629,1.8605194123071288e-05
401844,100629,1.8694909455491646e-05
410501,100629,1.8355778370405734e-05
42750,100629,1.8392453811143987e-05
5307,100629,1.8336164092349218e-05
5392,100629,1.9606686921919396e-05
65746,100629,1.884126260653256e-05
77195,100629,1.892807668042504e-05
8091,100629,1.8767563791599332e-05
81244,100629,2.0545854552172186e-05
81427,100629,1.8770349273812958e-05
82950,100629,1.908487525855062e-05
96211,100629,1.8657537711051986e-05
118226,101011,2.997576628215074e-10
13577,101011,2.99359609596815e-10
13961,101011,2.993704062763758e-10
15348,101011,2.993747579796829e-10
155629,101011,2.993632360996493e-10
1722,101011,2.993712020873585e-10
18778,101011,2.99772609038229e-10
21307,101011,2.9936222137766823e-10
25198,101011,2.9937167746888033e-10
265355,101011,2.9974953116187857e-10
30118,101011,2.993732682417352e-10
36640,101011,2.996814999669124e-10
3777,101011,2.9974577007582827e-10
394923,101011,2.9974818265729004e-10
